z rho mu lambda Qs Qp
3000 2500 11654000000 12792000000 215.9 431.8
-500 2500 11654000000 12792000000 215.9 431.8
-2500 2700 23569000000 25870000000 295.4 590.9
-5000 2800 38191000000 41918000000 369.3 738.6
-7000 2850 42544000000 46696000000 386.4 772.8
-11000 2950 46665000000 51220000000 397.7 795.4
-20000 2950 47873000000 52545000000 402.8 805.6
-28000 3100 52603000000 57737000000 411.9 823.8
-32000 3150 55686000000 61121000000 420.4 840.8
-60000 3260 62398000000 68489000000 437.5 875.0
-100000 3330 65942325000 81235350000 445.0 890.0
